Node,Betweenness Centrality
913.0,0.19054935914026286
864.0,0.17712517548980009
584.0,0.1681706070258923
571.0,0.15167531464004455
631.0,0.13614678985155176
871.0,0.12865317037880655
874.0,0.1254927379542178
557.0,0.12361802120323749
875.0,0.11439864198021947
868.0,0.1083462919890895
846.0,0.10485569263844667
865.0,0.10276069803276318
638.0,0.1013316444898284
845.0,0.09406448675373469
556.0,0.09232049228269987
709.0,0.09029275102022435
847.0,0.08964709792068913
605.0,0.08871265580717877
708.0,0.08776840168337972
867.0,0.08353395066652428
866.0,0.08203309733709067
768.0,0.08128147448426684
635.0,0.08067361650343874
801.0,0.07961559660716404
559.0,0.07819940426941974
604.0,0.07792619066927438
713.0,0.0771763695869647
712.0,0.07672484158785582
572.0,0.07530422431073046
573.0,0.0742456026323178
634.0,0.07422707183962994
622.0,0.07282597011640515
438.0,0.07236966602678059
437.0,0.06945571441377386
637.0,0.06409581535370723
537.0,0.06382693835484322
848.0,0.06314224119781238
640.0,0.06300851976191871
757.0,0.06233487948632808
399.0,0.061279758963149786
528.0,0.06118463560056097
578.0,0.06055202824115932
526.0,0.05818859255610302
815.0,0.05791617698220849
490.0,0.05657095348353093
536.0,0.056011711920858985
623.0,0.05542683977644151
615.0,0.05449331340457455
471.0,0.051911847735426994
613.0,0.05165163515309893
856.0,0.05035856797260336
689.0,0.050279957866721306
624.0,0.05020286661335796
849.0,0.04881975425386724
592.0,0.048261475137517086
699.0,0.04678914673145475
808.0,0.04655210125117834
587.0,0.045351630861646
816.0,0.0450196756223437
646.0,0.04485469803222469
576.0,0.04445266488424184
591.0,0.04413049118568556
507.0,0.04381539073671499
687.0,0.042925034205156205
902.0,0.04276740408141302
857.0,0.04266379575854417
447.0,0.0425362496204908
869.0,0.042353577615532156
569.0,0.04193102282399686
508.0,0.04077761048404715
878.0,0.04070820951690354
563.0,0.03995213948932512
811.0,0.039682407384365355
793.0,0.0394827826673423
870.0,0.03835732414896777
854.0,0.03811057918235087
858.0,0.037963963638360465
565.0,0.037099671721666665
677.0,0.03693219578534117
887.0,0.03691680553254326
812.0,0.03691655136455571
705.0,0.036908133786651545
551.0,0.0365846592237939
746.0,0.03648441782255553
800.0,0.03621532875276199
564.0,0.03610171855573272
670.0,0.03435423410272505
701.0,0.0342050235461521
803.0,0.03416231535594184
886.0,0.03409557225292542
642.0,0.03383401788051285
681.0,0.03377292325819684
675.0,0.0337711084666115
589.0,0.03361234854450784
825.0,0.03331722742858808
550.0,0.03319222607351677
541.0,0.03318909094508299
555.0,0.03311215889324188
707.0,0.033031528528702066
795.0,0.03291403106659937
644.0,0.03274036652167277
588.0,0.03237456771489733
607.0,0.032125051765726394
599.0,0.031118441901353103
802.0,0.03102685293937433
619.0,0.03101570577414731
794.0,0.030920057397020823
863.0,0.030671206543078592
450.0,0.030573478898109324
453.0,0.030448157042675453
454.0,0.030327504671555927
676.0,0.029765136991619496
410.0,0.02956639466103003
787.0,0.028773204304301737
653.0,0.028429643908104655
905.0,0.028210890651477662
827.0,0.028127845197121148
692.0,0.02791867043788084
855.0,0.027539575989848453
919.0,0.027418429652198546
473.0,0.027310778141886996
552.0,0.027276791946832187
617.0,0.027216736815053624
688.0,0.027037282912712696
606.0,0.026940605509358898
678.0,0.026938787437755393
409.0,0.026671959440452715
694.0,0.026340804695452958
775.0,0.026070701964392425
474.0,0.025956205107386283
778.0,0.02592915330862154
597.0,0.0258241250700647
527.0,0.025733113666663834
837.0,0.02556686185492219
813.0,0.025512124345290356
777.0,0.02548101064413336
783.0,0.025328777231169292
655.0,0.0251054508964591
782.0,0.024871901709735366
920.0,0.024688254713734484
690.0,0.024668913903841624
792.0,0.02464768493914168
703.0,0.024537031268001917
470.0,0.023991245581105942
