Node,Betweenness Centrality
913,0.19054935914026316
864,0.1771251754898003
584,0.16817060702589198
571,0.15167531464004474
631,0.13614678985155176
871,0.1286531703788065
874,0.1254927379542176
557,0.12361802120323756
875,0.11439864198021964
868,0.10834629198908964
846,0.1048556926384467
865,0.10276069803276301
638,0.10133164448982876
845,0.09406448675373448
556,0.09232049228269971
709,0.09029275102022417
847,0.0896470979206891
605,0.0887126558071788
708,0.08776840168337977
867,0.08353395066652411
866,0.08203309733709069
768,0.08128147448426731
635,0.08067361650343863
801,0.07961559660716404
559,0.07819940426941975
604,0.07792619066927449
713,0.07717636958696458
712,0.07672484158785586
572,0.07530422431073046
573,0.0742456026323179
634,0.07422707183962982
622,0.07282597011640508
438,0.07236966602678059
437,0.06945571441377392
637,0.06409581535370729
537,0.06382693835484325
848,0.06314224119781232
640,0.06300851976191876
757,0.06233487948632818
399,0.0612797589631496
528,0.06118463560056091
578,0.06055202824115933
526,0.05818859255610315
815,0.05791617698220847
490,0.05657095348353105
536,0.05601171192085901
623,0.055426839776441444
615,0.05449331340457451
471,0.051911847735427015
613,0.051651635153099014
856,0.050358567972603074
689,0.05027995786672127
624,0.050202866613357856
849,0.04881975425386739
592,0.04826147513751698
699,0.04678914673145497
808,0.04655210125117828
587,0.045351630861645904
816,0.045019675622343734
646,0.044854698032224645
576,0.044452664884241835
591,0.0441304911856856
507,0.043815390736714956
687,0.04292503420515617
902,0.04276740408141293
857,0.04266379575854424
447,0.042536249620490754
869,0.04235357761553214
569,0.04193102282399682
508,0.04077761048404715
878,0.040708209516903585
563,0.03995213948932512
811,0.03968240738436532
793,0.0394827826673424
870,0.03835732414896782
854,0.03811057918235077
858,0.03796396363836043
565,0.03709967172166662
677,0.03693219578534116
887,0.03691680553254322
812,0.036916551364555704
705,0.036908133786651566
551,0.03658465922379375
746,0.036484417822555376
800,0.0362153287527617
564,0.036101718555732666
670,0.03435423410272512
701,0.034205023546152076
803,0.0341623153559417
886,0.034095572252925324
642,0.03383401788051285
681,0.033772923258196884
675,0.03377110846661154
